movieID,movieName,year,runningTime
1,The Wizard of Oz,1939,102
2,Citizen Kane,1941,119
3,The Third Man,1949,93
4,The Godfather,1972,175
5,Modern Times,1936,87
6,All About Eve,1950,138
7,Singin' in the Rain,1952,103
8,Metropolis,1927,153
9,The Adventures of Robin Hood,1938,102
10,North by Northwest,1959,136
11,King Kong,1933,100
12,It Happened One Night,1934,105
13,Rear Window,1954,112
14,The Bride Of Frankenstein,1935,75
15,ET The Extra-Terrestrial,1982,115
16,Sunset Boulevard,1950,110
17,La Battaglia di Algeri,1967,121
18,The Maltese Falcon,1941,100
19,A Hard Day's Night,1964,87
20,Seven Samurai,1954,207
